timestamp, decisao, erro
1770323617.5899043,Em frente,0.0
1770323617.6406322,Em frente,0.0
1770323617.7039738,Em frente,0.0
1770323617.7628357,Em frente,0.0
1770323617.8073273,Em frente,0.0
1770323617.8557708,Curva a Esquerda,-0.5
1770323617.9015296,Em frente,0.0
1770323617.9497,Em frente,0.0
1770323617.9983792,Em frente,0.0
1770323618.0440443,Em frente,0.5
1770323618.0948026,Em frente,0.5
1770323618.159521,Em frente,0.0
1770323618.2049894,Em frente,0.5
1770323618.2532902,Em frente,0.5
1770323618.3014638,Em frente,0.5
1770323618.349142,Em frente,0.5
1770323618.3997626,Em frente,0.5
1770323618.445319,Em frente,0.5
1770323618.5136635,Em frente,0.5
1770323618.558863,Em frente,0.5
1770323618.6069021,Em frente,0.5
1770323618.6534092,Em frente,0.5
1770323618.7050667,Em frente,0.5
1770323618.7483404,Em frente,0.5
1770323618.823272,Em frente,0.5
1770323618.8846126,Em frente,0.5
1770323618.9410577,Em frente,0.5
1770323619.0078108,Em frente,0.5
1770323619.052987,Em frente,0.5
1770323619.1009266,Em frente,0.5
1770323619.1481252,Em frente,0.5
1770323619.1929572,Em frente,0.5
1770323619.2592988,Em frente,0.5
1770323619.3101983,Em frente,0.5
1770323619.351636,Em frente,0.5
1770323619.3981194,Em frente,0.5
1770323619.4446251,Em frente,0.5
1770323619.4925878,Em frente,0.5
1770323619.5664885,Em frente,0.5
1770323619.6480289,Em frente,0.5
1770323619.7143512,Em frente,0.5
1770323619.765324,Em frente,0.5
1770323619.8250608,Em frente,0.5
1770323619.8816183,Em frente,0.5
1770323619.941464,Em frente,0.5
1770323619.9907923,Curva a Esquerda,-1.0
1770323620.0334666,Curva a Esquerda,-1.0
1770323620.0820735,Curva a Esquerda,-2.5
1770323620.1480753,Curva a Esquerda,-3.5
1770323620.192093,Curva a Esquerda,-5.0
1770323620.2421496,Curva a Esquerda,-6.5
1770323620.30745,Curva a Esquerda,-8.5
1770323620.3603928,Curva a Esquerda,-10.0
1770323620.4462152,Curva a Esquerda,-11.0
1770323620.5037837,Curva a Esquerda,-13.0
1770323620.572688,Curva a Esquerda,-12.5
1770323620.6238801,Curva a Esquerda,-13.5
1770323620.6715467,Curva a Esquerda,-13.5
1770323620.7362146,Curva a Esquerda,-13.5
1770323620.7926948,Curva a Esquerda,-13.5
1770323620.8443098,Curva a Esquerda,-13.5
1770323620.890578,Curva a Esquerda,-13.5
1770323620.9630935,Curva a Esquerda,-13.0
1770323621.044307,Curva a Esquerda,-14.0
1770323621.0966935,Curva a Esquerda,-14.0
1770323621.1459858,Curva a Esquerda,-14.5
1770323621.1925237,Curva a Esquerda,-15.5
1770323621.239712,Curva a Esquerda,-16.0
1770323621.3163502,Curva a Esquerda,-16.5
1770323621.375599,Curva a Esquerda,-17.5
1770323621.4402359,Curva a Esquerda,-18.5
1770323621.5228748,Curva a Esquerda,-19.0
1770323621.5865173,Curva a Esquerda,-20.0
1770323621.6523952,Curva a Esquerda,-20.5
1770323621.7144623,Curva a Esquerda,-21.0
1770323621.7924962,Curva a Esquerda,-21.5
1770323621.846532,Curva a Esquerda,-22.0
1770323621.8916173,Curva a Esquerda,-22.0
1770323621.9397643,Curva a Esquerda,-22.0
1770323621.985336,Curva a Esquerda,-22.0
1770323622.056976,Curva a Esquerda,-22.0
1770323622.1037412,Curva a Esquerda,-21.0
1770323622.144883,Curva a Esquerda,-21.0
1770323622.1935806,Curva a Esquerda,-20.5
1770323622.2395418,Curva a Esquerda,-20.0
1770323622.2894735,Curva a Esquerda,-19.5
1770323622.3511431,Curva a Esquerda,-18.5
1770323622.4129145,Curva a Esquerda,-18.0
1770323622.4632554,Curva a Esquerda,-17.5
1770323622.5087,Curva a Esquerda,-16.5
1770323622.576097,Curva a Esquerda,-16.5
1770323622.6259704,Curva a Esquerda,-15.0
1770323622.668611,Curva a Esquerda,-14.0
1770323622.718337,Curva a Esquerda,-13.0
1770323622.7638738,Curva a Esquerda,-12.5
1770323622.813147,Curva a Esquerda,-11.0
1770323622.858897,Curva a Esquerda,-10.5
1770323622.9078183,Curva a Esquerda,-9.5
1770323622.9555764,Curva a Esquerda,-8.5
1770323623.0133073,Curva a Esquerda,-7.0
1770323623.0662549,Curva a Esquerda,-6.0
1770323623.2031598,Curva a Esquerda,-5.0
1770323623.2569244,Curva a Esquerda,-4.0
1770323623.3232288,Curva a Esquerda,-3.0
1770323623.3865216,Curva a Esquerda,-2.5
1770323623.4351227,Curva a Esquerda,-1.0
1770323623.4791512,Curva a Esquerda,-0.5
1770323623.5261827,Em frente,0.5
1770323623.5986855,Em frente,1.5
1770323623.6640844,Em frente,1.0
1770323623.7495615,Em frente,1.0
1770323623.808648,Em frente,1.0
1770323623.8717465,Em frente,2.0
1770323623.9568503,Em frente,1.0
1770323624.0171108,Em frente,1.5
1770323624.0772412,Em frente,1.0
1770323624.1405556,Em frente,0.5
1770323624.2295978,Em frente,0.0
1770323624.3032072,Curva a Esquerda,-1.0
1770323624.36158,Curva a Esquerda,-1.0
1770323624.421254,Curva a Esquerda,-1.0
1770323624.4656258,Curva a Esquerda,-3.0
1770323624.5136268,Curva a Esquerda,-4.5
1770323624.5607798,Curva a Esquerda,-4.5
1770323624.6079438,Curva a Esquerda,-5.0
